#             |P|               []
   2.01437023e-01   6.60603000e-01
   2.12677876e-01   6.60602000e-01
   2.03944376e-01   6.60488000e-01
   2.05734665e-01   6.61269000e-01
   2.07985797e-01   6.60365000e-01
   2.16231798e-01   6.60736000e-01
   2.04659151e-01   6.60307000e-01
   2.07715994e-01   6.59207000e-01
   2.20971823e-01   6.60824000e-01
   2.12754391e-01   6.60720000e-01
   2.08829893e-01   6.60326000e-01
   2.10526135e-01   6.60847000e-01
   1.91706899e-01   6.59762000e-01
   2.10358660e-01   6.60590000e-01
   2.14510985e-01   6.60257000e-01
   2.14509364e-01   6.60826000e-01
   2.07015486e-01   6.59802000e-01
   2.08101019e-01   6.60357000e-01
   1.91304610e-01   6.60305000e-01
   2.06696131e-01   6.60688000e-01
   2.09682976e-01   6.59964000e-01
   2.13060141e-01   6.61637000e-01
   2.13728418e-01   6.60160000e-01
   2.09693200e-01   6.60825000e-01
   2.17841674e-01   6.60562000e-01
   2.26293539e-01   6.60523000e-01
   2.03936741e-01   6.61352000e-01
   2.24020408e-01   6.60738000e-01
   2.01828574e-01   6.60339000e-01
   2.20835520e-01   6.59706000e-01
   2.15521451e-01   6.60570000e-01
   1.92281100e-01   6.59805000e-01
   2.06114204e-01   6.60992000e-01
   2.00298104e-01   6.60266000e-01
   2.09552372e-01   6.60328000e-01
   2.10511004e-01   6.60223000e-01
   2.05930337e-01   6.60181000e-01
   1.95277196e-01   6.60871000e-01
   2.02920047e-01   6.61063000e-01
   2.08464006e-01   6.59521000e-01
   1.95008265e-01   6.61294000e-01
   2.14839270e-01   6.60432000e-01
   2.12503811e-01   6.59881000e-01
   2.15494851e-01   6.60168000e-01
   2.03651657e-01   6.61034000e-01
   2.10078605e-01   6.60922000e-01
   2.04973548e-01   6.60247000e-01
   2.09896874e-01   6.60323000e-01
   2.06445539e-01   6.60218000e-01
   1.98295067e-01   6.60459000e-01
   2.03795037e-01   6.59862000e-01
   2.22417920e-01   6.60226000e-01
   2.10917943e-01   6.59899000e-01
   2.19563310e-01   6.61235000e-01
   2.08668670e-01   6.60021000e-01
   2.11367553e-01   6.59884000e-01
   2.08239599e-01   6.61031000e-01
   2.11367922e-01   6.60887000e-01
   2.18065537e-01   6.61743000e-01
   2.20208801e-01   6.60610000e-01
   1.96153107e-01   6.60671000e-01
   2.08901510e-01   6.59860000e-01
   2.16705175e-01   6.60266000e-01
   2.15866130e-01   6.60385000e-01
   2.10331887e-01   6.59136000e-01
   2.16967838e-01   6.61096000e-01
   2.03108931e-01   6.61049000e-01
   1.93067491e-01   6.60228000e-01
   2.05432338e-01   6.60530000e-01
   2.18997038e-01   6.60764000e-01
   2.01287657e-01   6.60924000e-01
   2.15600702e-01   6.60454000e-01
   2.05805523e-01   6.60253000e-01
   2.09818238e-01   6.61020000e-01
   2.08876691e-01   6.59530000e-01
   2.22826188e-01   6.60135000e-01
   2.13790051e-01   6.60155000e-01
   2.13989066e-01   6.59644000e-01
   2.17207807e-01   6.60435000e-01
   2.10531480e-01   6.60117000e-01
   2.10208960e-01   6.60434000e-01
   2.13630552e-01   6.60331000e-01
   2.07620422e-01   6.59118000e-01
   2.03613064e-01   6.60307000e-01
   2.07464018e-01   6.60578000e-01
   2.04073586e-01   6.60704000e-01
   2.05317321e-01   6.60915000e-01
   2.04163733e-01   6.59665000e-01
   2.12343466e-01   6.60876000e-01
   2.10998963e-01   6.60269000e-01
   2.04874261e-01   6.60945000e-01
   2.08452478e-01   6.59254000e-01
   1.92160661e-01   6.59915000e-01
   2.08260400e-01   6.60343000e-01
   2.14681965e-01   6.60155000e-01
   2.03450590e-01   6.60939000e-01
   2.17778903e-01   6.61059000e-01
   2.20558875e-01   6.60769000e-01
   2.13178078e-01   6.59578000e-01
   2.07964285e-01   6.59269000e-01
   1.85308537e-01   6.60119000e-01
   1.96759206e-01   6.60419000e-01
   2.18777223e-01   6.59575000e-01
   2.05082579e-01   6.60152000e-01
   2.07464455e-01   6.60158000e-01
   2.12134258e-01   6.60815000e-01
   2.02960126e-01   6.59615000e-01
   2.08523750e-01   6.60006000e-01
   2.10804081e-01   6.60090000e-01
   2.03547807e-01   6.60007000e-01
   2.04903944e-01   6.61566000e-01
   2.07767441e-01   6.60001000e-01
   2.22150881e-01   6.59758000e-01
   1.88151980e-01   6.60024000e-01
   2.15171584e-01   6.60325000e-01
   1.98634511e-01   6.60375000e-01
   2.21037861e-01   6.60571000e-01
   1.93617546e-01   6.60117000e-01
   2.10412874e-01   6.61040000e-01
   2.09539332e-01   6.60738000e-01
   2.05235667e-01   6.60593000e-01
   2.17568041e-01   6.60201000e-01
   2.08418692e-01   6.59421000e-01
   2.11986189e-01   6.60712000e-01
   2.09739338e-01   6.60493000e-01
   1.97897542e-01   6.59645000e-01
   2.16661031e-01   6.60510000e-01
   2.13470699e-01   6.60622000e-01
   1.93773437e-01   6.61368000e-01
   2.11821621e-01   6.61700000e-01
   2.02033264e-01   6.60955000e-01
   2.12758669e-01   6.59785000e-01
   2.13127014e-01   6.61536000e-01
   2.09416245e-01   6.61119000e-01
   2.17933540e-01   6.61104000e-01
   2.01646566e-01   6.60687000e-01
   1.96767539e-01   6.59896000e-01
   2.10944355e-01   6.60438000e-01
   1.96835131e-01   6.60413000e-01
   2.09199007e-01   6.60781000e-01
   2.15552965e-01   6.59474000e-01
   2.10106085e-01   6.61030000e-01
   2.16031142e-01   6.60782000e-01
   2.09932628e-01   6.60286000e-01
   2.17477943e-01   6.60109000e-01
   2.13136516e-01   6.61319000e-01
   2.02172169e-01   6.60221000e-01
   2.14802229e-01   6.59594000e-01
   2.15141455e-01   6.60021000e-01
   2.05571419e-01   6.59989000e-01
   2.03285946e-01   6.60169000e-01
   2.11594979e-01   6.60232000e-01
   1.98933668e-01   6.59957000e-01
   2.05428017e-01   6.60344000e-01
   2.09427827e-01   6.60507000e-01
   2.04194505e-01   6.60316000e-01
   1.95375543e-01   6.59520000e-01
   2.06427183e-01   6.60670000e-01
   2.12695973e-01   6.61036000e-01
   2.01415355e-01   6.60478000e-01
   2.06864714e-01   6.60398000e-01
   2.07065800e-01   6.60326000e-01
   1.91433099e-01   6.59699000e-01
   2.19775327e-01   6.60055000e-01
