#             |P|               []
   1.42325887e-02   5.63441000e-01
   5.85903970e-03   5.63810000e-01
   2.78221211e-03   5.63072000e-01
   1.26964920e-02   5.64748000e-01
   1.41683776e-02   5.64664000e-01
   4.50180506e-03   5.65431000e-01
   6.71428826e-03   5.63477000e-01
   8.29485659e-03   5.63321000e-01
   6.07673458e-03   5.64219000e-01
   5.81999230e-03   5.64564000e-01
   7.51167801e-04   5.64188000e-01
   8.90079209e-03   5.64266000e-01
   3.39252445e-03   5.64222000e-01
   1.20509771e-02   5.63405000e-01
   4.31350554e-03   5.63048000e-01
   1.52807723e-02   5.63690000e-01
   7.90006938e-03   5.63669000e-01
   4.46178845e-03   5.65206000e-01
   9.17136602e-03   5.63219000e-01
   5.75388391e-03   5.64701000e-01
   5.95227803e-03   5.64180000e-01
   5.80594896e-03   5.63296000e-01
   1.08717511e-02   5.65536000e-01
   8.11521422e-04   5.63919000e-01
   2.40463773e-03   5.64971000e-01
   8.08214476e-03   5.63047000e-01
   1.70740216e-02   5.65127000e-01
   7.68332179e-03   5.63188000e-01
   1.54669847e-02   5.63682000e-01
   1.20778118e-02   5.64110000e-01
   1.21221260e-02   5.63682000e-01
   4.00465147e-03   5.64220000e-01
   1.77434304e-02   5.62391000e-01
   1.59240975e-02   5.63543000e-01
   4.02678642e-03   5.65139000e-01
   6.23498746e-03   5.65232000e-01
   6.00916061e-03   5.63984000e-01
   6.41449587e-03   5.64420000e-01
   1.02357793e-02   5.64806000e-01
   1.38686668e-02   5.65202000e-01
   2.72605474e-03   5.63897000e-01
   2.75658104e-03   5.63150000e-01
   6.24829492e-03   5.64948000e-01
   7.71939454e-03   5.64048000e-01
   8.38142421e-03   5.61634000e-01
   5.12147722e-03   5.63743000e-01
   8.44352907e-03   5.64053000e-01
   7.90590626e-03   5.63173000e-01
   1.62828477e-02   5.63715000e-01
   1.19995589e-02   5.64342000e-01
   9.38387493e-04   5.63339000e-01
   1.10970376e-02   5.63974000e-01
   2.36058249e-03   5.62816000e-01
   1.08288094e-02   5.62477000e-01
   6.28724035e-03   5.65658000e-01
