#          |P|               []
   1.28898681e-03   6.28104000e-01
   1.48281667e-03   6.27944000e-01
   1.14270663e-03   6.28236000e-01
   1.42837903e-03   6.28129000e-01
   5.20419152e-04   6.28049000e-01
   1.51057053e-03   6.28150000e-01
   1.94942035e-03   6.28231000e-01
   5.88330922e-04   6.28172000e-01
   1.45294733e-03   6.28250000e-01
   1.05061028e-03   6.28219000e-01
   1.37382185e-03   6.27994000e-01
   4.78637316e-04   6.28212000e-01
   8.19328021e-04   6.28102000e-01
   8.42512814e-04   6.28082000e-01
   1.60248858e-03   6.28097000e-01
   3.08785385e-04   6.28042000e-01
   9.47677248e-04   6.28192000e-01
   4.91211215e-04   6.28276000e-01
   9.33316885e-04   6.28101000e-01
   1.44352256e-03   6.28196000e-01
   9.06608925e-04   6.28133000e-01
   3.90758877e-04   6.28191000e-01
   1.23303739e-03   6.28098000e-01
   8.20043755e-05   6.28099000e-01
   1.79229853e-03   6.28144000e-01
   1.70821900e-03   6.28118000e-01
   6.74242110e-04   6.28129000e-01
   1.43138310e-03   6.28078000e-01
   1.11033310e-03   6.28157000e-01
   3.65616440e-04   6.28114000e-01
   3.10285498e-04   6.28243000e-01
   5.87381875e-04   6.28238000e-01
   1.12955324e-03   6.28074000e-01
   4.35675613e-04   6.28112000e-01
   1.07672461e-03   6.28238000e-01
   1.07900866e-03   6.28023000e-01
   1.26687375e-03   6.28148000e-01
   1.10155799e-03   6.28043000e-01
   9.81819699e-04   6.28247000e-01
   2.05457558e-04   6.28196000e-01
   1.13506182e-03   6.28134000e-01
   1.32933989e-03   6.28283000e-01
   6.10809513e-04   6.28050000e-01
   9.96295318e-04   6.28324000e-01
   7.75683928e-04   6.28227000e-01
   8.89631983e-04   6.28329000e-01
   5.95861242e-04   6.27927000e-01
   6.38989471e-04   6.28164000e-01
   1.05914034e-03   6.28135000e-01
   1.37868204e-03   6.28104000e-01
   3.17977664e-04   6.28131000e-01
   1.03366999e-03   6.28207000e-01
   1.68731200e-03   6.28042000e-01
   2.23688441e-03   6.28091000e-01
   8.13322722e-04   6.28028000e-01
   2.20352033e-04   6.28040000e-01
   1.19162936e-03   6.28089000e-01
   1.25136939e-03   6.28154000e-01
   1.01257636e-03   6.28175000e-01
   7.37779927e-04   6.28022000e-01
   1.16599931e-03   6.28052000e-01
   1.12263785e-03   6.28038000e-01
   1.15108223e-03   6.28078000e-01
   8.12794010e-04   6.28104000e-01
   1.68996377e-03   6.28020000e-01
   6.01305554e-04   6.28239000e-01
   1.52738799e-03   6.28184000e-01
   1.38324360e-03   6.28148000e-01
   1.36140164e-03   6.28133000e-01
   2.16888972e-03   6.28182000e-01
   4.77463514e-04   6.27905000e-01
   4.76642101e-04   6.28109000e-01
   8.28353393e-04   6.28189000e-01
   2.73446790e-03   6.28185000e-01
   1.57418809e-04   6.28283000e-01
   1.69992501e-03   6.28141000e-01
   1.03006432e-03   6.28096000e-01
   8.31678356e-04   6.28214000e-01
   9.05687369e-04   6.28007000e-01
   1.24119879e-03   6.28208000e-01
   1.70352300e-03   6.28220000e-01
   1.88943382e-03   6.28360000e-01
   9.10481663e-04   6.28232000e-01
   9.72224913e-04   6.28256000e-01
   1.28876379e-03   6.28244000e-01
   3.26533550e-04   6.28120000e-01
   6.54510292e-04   6.28157000e-01
   7.76494413e-04   6.28216000e-01
   5.77166643e-04   6.28209000e-01
   7.27001055e-04   6.28276000e-01
   6.60531465e-04   6.28165000e-01
   2.10036677e-04   6.28205000e-01
   6.25917014e-04   6.28188000e-01
   5.24806981e-04   6.28072000e-01
   9.80467281e-04   6.28120000e-01
   4.18895036e-04   6.28084000e-01
   5.98928930e-04   6.28102000e-01
   1.00747771e-03   6.28183000e-01
   4.17657526e-04   6.28119000e-01
   1.18347617e-03   6.28179000e-01
   4.62621413e-04   6.28120000e-01
   4.54030902e-04   6.28317000e-01
   1.06162706e-03   6.28093000e-01
   1.61646863e-03   6.28042000e-01
   2.01195881e-04   6.28043000e-01
   6.72663570e-04   6.28111000e-01
   1.89454266e-03   6.28093000e-01
   1.05916939e-03   6.28240000e-01
   3.06667269e-04   6.28150000e-01
   6.01026161e-04   6.28207000e-01
   9.31698041e-04   6.28159000e-01
   7.96415224e-04   6.28009000e-01
   3.65725059e-04   6.28152000e-01
   1.19414409e-03   6.28253000e-01
   5.08388891e-04   6.27996000e-01
   1.41699766e-03   6.28173000e-01
   1.80266949e-03   6.28041000e-01
   9.72549720e-05   6.28195000e-01
   2.43796883e-03   6.28148000e-01
   1.21447444e-03   6.28026000e-01
   1.45680451e-04   6.28080000e-01
   1.13090623e-03   6.28027000e-01
   9.75463927e-04   6.28180000e-01
   8.19546523e-04   6.28063000e-01
   1.07072507e-03   6.28122000e-01
   1.14481635e-03   6.28033000e-01
   7.10377662e-04   6.28175000e-01
   9.28353819e-04   6.28192000e-01
   9.98119191e-04   6.28096000e-01
   1.39668415e-03   6.28249000e-01
   6.31472915e-04   6.28124000e-01
   4.67162323e-04   6.28161000e-01
   4.17956828e-04   6.28125000e-01
   3.81656727e-04   6.28096000e-01
   9.35407906e-04   6.28133000e-01
   2.51160361e-04   6.28100000e-01
   2.33213626e-03   6.28078000e-01
   1.32565976e-03   6.28094000e-01
   1.72069529e-03   6.28143000e-01
   9.86763077e-04   6.28205000e-01
   3.74425325e-04   6.28141000e-01
   8.46959417e-04   6.28145000e-01
   2.07141876e-03   6.28289000e-01
   1.20909976e-03   6.27995000e-01
   9.71113045e-04   6.28083000e-01
   8.59560658e-04   6.28213000e-01
   1.01860956e-03   6.28023000e-01
   3.73284645e-04   6.28236000e-01
   2.96269997e-04   6.28004000e-01
   1.07175179e-03   6.28097000e-01
   1.31244453e-03   6.28174000e-01
   1.55991283e-04   6.28239000e-01
   9.59090233e-04   6.28152000e-01
   6.97458673e-04   6.28221000e-01
