#          |P|               []
   2.77014735e-03   6.10332000e-01
   7.38141921e-03   6.09901000e-01
   3.04292633e-03   6.10008000e-01
   3.48145933e-03   6.10192000e-01
   8.65710076e-03   6.09747000e-01
   1.31940511e-02   6.10102000e-01
   8.60959954e-03   6.10112000e-01
   1.02960357e-02   6.09701000e-01
   6.55346147e-03   6.09984000e-01
   2.19199097e-03   6.10280000e-01
   7.25187430e-03   6.09464000e-01
   4.98251106e-03   6.09779000e-01
   2.88395948e-03   6.10522000e-01
   2.72522036e-03   6.10014000e-01
   4.84568297e-03   6.10220000e-01
   1.34470628e-03   6.10116000e-01
   1.46221596e-03   6.09949000e-01
   2.36941141e-03   6.09995000e-01
   6.04601418e-03   6.10048000e-01
   5.25290342e-03   6.10205000e-01
   2.73083300e-03   6.10127000e-01
   8.20781676e-03   6.10024000e-01
   5.02324870e-03   6.09825000e-01
   2.28079692e-02   6.09719000e-01
   1.79970345e-03   6.10058000e-01
   2.56852856e-03   6.09548000e-01
   4.16408735e-03   6.10266000e-01
   1.24173852e-03   6.09740000e-01
   1.06694973e-02   6.10375000e-01
   1.72916024e-03   6.09772000e-01
   1.02210444e-02   6.10082000e-01
   1.71833807e-03   6.09535000e-01
   2.30074290e-03   6.10138000e-01
   1.77708984e-03   6.10091000e-01
   6.34233171e-03   6.09840000e-01
   4.24906128e-03   6.09690000e-01
   1.52884204e-02   6.09963000e-01
   6.21206440e-03   6.10065000e-01
   5.55771525e-03   6.09449000e-01
   3.81764437e-03   6.09740000e-01
   2.29176933e-03   6.09947000e-01
   1.20960953e-03   6.09712000e-01
   5.36069347e-03   6.09705000e-01
   3.33579789e-03   6.09904000e-01
   6.20731075e-03   6.09887000e-01
   1.12375218e-02   6.10208000e-01
   1.69159856e-03   6.09856000e-01
   6.91056623e-03   6.10024000e-01
   3.32638730e-03   6.10254000e-01
   6.87027212e-03   6.09993000e-01
   2.57687218e-03   6.10108000e-01
   8.70725107e-03   6.09877000e-01
   5.31891290e-03   6.10098000e-01
   2.85034335e-03   6.09818000e-01
   5.56889196e-03   6.09951000e-01
   7.56548479e-03   6.09611000e-01
   3.50432629e-03   6.10154000e-01
   3.01841337e-03   6.09769000e-01
   8.74438927e-03   6.10241000e-01
   3.75644164e-03   6.09649000e-01
   8.57608683e-03   6.09956000e-01
   4.12491794e-03   6.09934000e-01
   5.10634841e-03   6.09882000e-01
   9.15287099e-03   6.09702000e-01
   1.37057193e-03   6.09751000e-01
   1.99086044e-03   6.09680000e-01
   5.68056226e-03   6.09574000e-01
   1.08400616e-02   6.09700000e-01
   1.42045564e-02   6.09739000e-01
   4.47814323e-03   6.09654000e-01
   8.00964624e-03   6.10178000e-01
   4.09350662e-03   6.09654000e-01
   5.29805041e-03   6.09624000e-01
   2.40402974e-03   6.09535000e-01
   4.15315101e-03   6.09823000e-01
   8.80268821e-03   6.10165000e-01
   1.28499653e-02   6.09555000e-01
   2.88527531e-03   6.09980000e-01
   6.41456366e-03   6.09774000e-01
   8.26169403e-03   6.10054000e-01
   5.84485095e-03   6.10005000e-01
   2.54380731e-03   6.09987000e-01
   6.18878825e-03   6.09500000e-01
   4.68913567e-03   6.09508000e-01
   9.50931903e-03   6.09431000e-01
   5.85404853e-03   6.09880000e-01
   2.96672473e-03   6.09987000e-01
   6.27616261e-03   6.10068000e-01
   1.76576290e-02   6.10044000e-01
   1.08658024e-02   6.10173000e-01
   2.46964407e-03   6.10083000e-01
   4.46934972e-03   6.09894000e-01
   3.94284247e-03   6.09905000e-01
   3.58219899e-03   6.09667000e-01
   1.56263865e-02   6.09986000e-01
   4.58807997e-03   6.10216000e-01
   3.04094532e-03   6.10329000e-01
   4.35710414e-03   6.09776000e-01
   1.02095968e-02   6.10350000e-01
   3.89130109e-03   6.09666000e-01
   3.99171175e-03   6.10158000e-01
   4.83004381e-03   6.10107000e-01
   3.28398738e-03   6.09955000e-01
   3.49957458e-03   6.10167000e-01
   3.04796041e-03   6.09872000e-01
   7.89020020e-03   6.09940000e-01
   5.67842430e-03   6.09947000e-01
   6.31139121e-03   6.09849000e-01
   7.30125560e-03   6.09677000e-01
   4.96146510e-03   6.09918000e-01
   2.10759245e-03   6.09789000e-01
   7.35564432e-03   6.09399000e-01
   5.95789139e-03   6.09928000e-01
   1.00603413e-02   6.09838000e-01
   8.67244752e-03   6.09966000e-01
   3.81303561e-03   6.09690000e-01
   2.31247905e-03   6.10409000e-01
   4.55760170e-03   6.10020000e-01
   2.98474830e-03   6.09982000e-01
   9.48534494e-03   6.09753000e-01
   3.70530876e-03   6.09860000e-01
   1.71283642e-03   6.09782000e-01
   4.08512001e-03   6.10338000e-01
   4.15383934e-03   6.09813000e-01
   3.99220617e-03   6.09954000e-01
   8.83530166e-03   6.09875000e-01
   4.24887136e-03   6.09817000e-01
   8.35800245e-03   6.10080000e-01
   9.25099111e-04   6.10207000e-01
   5.47227613e-03   6.09973000e-01
   6.85226256e-03   6.10187000e-01
   4.49125671e-03   6.09971000e-01
   7.54266196e-03   6.10148000e-01
   8.77593198e-03   6.09760000e-01
   2.27579709e-03   6.10051000e-01
   8.50960802e-04   6.09759000e-01
   4.35680136e-03   6.10031000e-01
   1.21261878e-02   6.10027000e-01
   5.96061710e-03   6.10123000e-01
   5.12353267e-03   6.09804000e-01
   5.04198700e-03   6.09814000e-01
   6.27753529e-03   6.09915000e-01
   3.85088277e-03   6.10125000e-01
   2.39451478e-03   6.10112000e-01
   5.10619404e-03   6.09802000e-01
   1.17943629e-02   6.10293000e-01
   7.18695611e-03   6.09799000e-01
   3.67838181e-03   6.09841000e-01
   3.60123969e-03   6.10114000e-01
   5.05802143e-03   6.10155000e-01
   1.40870896e-03   6.10012000e-01
   1.26390489e-02   6.09834000e-01
   4.82277173e-03   6.09944000e-01
   5.88539756e-03   6.09892000e-01
   1.74676874e-03   6.09839000e-01
   4.76054782e-03   6.10255000e-01
   4.20113551e-03   6.09642000e-01
   5.85028759e-03   6.09947000e-01
   1.37311362e-03   6.09879000e-01
   6.99087033e-04   6.10043000e-01
   7.87999813e-03   6.10071000e-01
   3.28347909e-03   6.09895000e-01
   3.81590820e-03   6.09460000e-01
   3.77012612e-03   6.09861000e-01
   1.38909893e-02   6.10182000e-01
   5.50571637e-03   6.10094000e-01
   1.03272129e-03   6.09925000e-01
   5.50096175e-03   6.10015000e-01
   1.29249273e-03   6.09607000e-01
   5.30677986e-03   6.09699000e-01
   1.29516924e-02   6.10427000e-01
   6.28365291e-03   6.09956000e-01
   2.78177351e-03   6.09721000e-01
   8.42342391e-03   6.09846000e-01
   6.03156090e-03   6.10290000e-01
   4.51583160e-03   6.10153000e-01
   2.13678201e-03   6.10157000e-01
   1.06880393e-02   6.09914000e-01
   3.87725025e-03   6.10033000e-01
   1.17218785e-02   6.09554000e-01
   4.17071935e-03   6.10093000e-01
   1.30594009e-03   6.09585000e-01
   1.83040411e-03   6.10376000e-01
   4.89658175e-03   6.10004000e-01
   5.59416808e-03   6.10086000e-01
   2.68134490e-03   6.10105000e-01
   8.20930463e-03   6.09885000e-01
   7.20297628e-03   6.09413000e-01
   9.26833650e-03   6.09759000e-01
   2.37772744e-03   6.10142000e-01
   3.60466590e-03   6.10142000e-01
   1.87161082e-03   6.09585000e-01
   4.69732302e-03   6.09980000e-01
   4.94544903e-03   6.09989000e-01
   2.42114585e-03   6.09662000e-01
   4.81110883e-03   6.09848000e-01
   6.19830412e-03   6.09697000e-01
   6.28641504e-03   6.10146000e-01
   2.16274452e-03   6.10164000e-01
   1.77662043e-03   6.10022000e-01
   7.57899974e-04   6.10085000e-01
   5.38356062e-03   6.09458000e-01
   2.48909379e-03   6.09549000e-01
   8.45985938e-03   6.09781000e-01
   3.66363056e-03   6.09955000e-01
   1.33585911e-03   6.09575000e-01
   1.36177161e-02   6.10069000e-01
   2.44223913e-03   6.09660000e-01
   1.35131670e-02   6.09894000e-01
   1.01261128e-02   6.09959000e-01
   8.04330623e-04   6.10300000e-01
   2.99223890e-03   6.10399000e-01
   6.12077686e-03   6.10047000e-01
   4.96770792e-03   6.10154000e-01
   5.76668978e-03   6.09753000e-01
   5.67725434e-03   6.09795000e-01
   3.58582313e-03   6.10157000e-01
   6.91357016e-03   6.09666000e-01
   7.10015752e-03   6.10023000e-01
   3.03740501e-03   6.09862000e-01
   5.64376824e-03   6.09959000e-01
   4.98174516e-03   6.09972000e-01
   9.09506812e-03   6.10284000e-01
   4.83588782e-03   6.10039000e-01
   6.30721930e-03   6.10173000e-01
   3.17104779e-03   6.10250000e-01
   1.77396315e-03   6.10156000e-01
   5.06401445e-03   6.09856000e-01
   5.76591654e-04   6.10164000e-01
   3.13911501e-03   6.10235000e-01
   6.46417398e-03   6.09821000e-01
   1.30607774e-02   6.10206000e-01
   6.80943356e-03   6.10123000e-01
   1.26928668e-03   6.09673000e-01
   2.90534280e-03   6.09743000e-01
   4.03684745e-03   6.10091000e-01
   8.70715252e-03   6.10129000e-01
   6.30067262e-04   6.10066000e-01
   9.07784627e-03   6.10005000e-01
   1.39070593e-03   6.09784000e-01
   1.74421084e-03   6.10186000e-01
   4.07674094e-03   6.09774000e-01
   9.87766902e-04   6.09894000e-01
   1.98829684e-03   6.09990000e-01
   6.89858832e-03   6.10437000e-01
   5.38541850e-03   6.10077000e-01
   1.51288082e-03   6.10272000e-01
   5.52013793e-03   6.09601000e-01
   6.56486156e-03   6.10493000e-01
   7.70883763e-03   6.09794000e-01
   1.03099211e-02   6.09992000e-01
   4.80260359e-03   6.10127000e-01
   4.72099199e-03   6.10122000e-01
   4.88615989e-03   6.09681000e-01
   3.46882239e-03   6.09964000e-01
   6.35481443e-03   6.09645000e-01
   3.27650032e-04   6.09801000e-01
   4.47869522e-03   6.09830000e-01
   1.57085807e-03   6.10287000e-01
   3.40092778e-03   6.10201000e-01
   2.53265228e-03   6.10169000e-01
   8.67346642e-03   6.09938000e-01
   6.31814720e-03   6.10181000e-01
   2.47977607e-03   6.10067000e-01
   4.17837666e-03   6.10072000e-01
   7.04035283e-03   6.09939000e-01
   5.82811933e-03   6.09556000e-01
   2.61081158e-03   6.09599000e-01
   7.56098956e-03   6.09811000e-01
   7.23532104e-03   6.10376000e-01
   6.54791301e-03   6.09988000e-01
   8.12318801e-03   6.10130000e-01
   4.67568267e-03   6.09726000e-01
   9.01201326e-03   6.09546000e-01
   6.50472411e-03   6.10196000e-01
   8.17494900e-03   6.10413000e-01
   2.42621517e-03   6.10223000e-01
   4.51512567e-03   6.09383000e-01
   1.14582132e-02   6.09883000e-01
   2.74918018e-03   6.10410000e-01
   6.80796939e-03   6.10154000e-01
   4.60683147e-03   6.10128000e-01
   7.55505846e-03   6.09596000e-01
   6.01334156e-03   6.09875000e-01
   5.62892946e-03   6.10122000e-01
   9.97708960e-03   6.09743000e-01
   9.67897763e-03   6.10429000e-01
   7.82583507e-03   6.09710000e-01
   4.43559220e-03   6.10236000e-01
   1.71862724e-03   6.10111000e-01
   5.86153001e-03   6.09813000e-01
   1.30894528e-02   6.10016000e-01
   7.67713008e-03   6.10042000e-01
   3.60387388e-03   6.09806000e-01
   4.50920310e-03   6.10082000e-01
   1.89948100e-03   6.10347000e-01
   1.04841529e-02   6.09781000e-01
   7.81958594e-03   6.10022000e-01
   3.50815042e-03   6.09644000e-01
   4.24760812e-03   6.09723000e-01
   4.30572779e-03   6.10333000e-01
