#          |P|               []
   4.51652446e-02   6.39202000e-01
   4.01057945e-02   6.39765000e-01
   4.74083048e-02   6.39124000e-01
   4.00895018e-02   6.39447000e-01
   3.93236130e-02   6.39226000e-01
   4.25381681e-02   6.39395000e-01
   4.30943555e-02   6.39303000e-01
   4.43833922e-02   6.39581000e-01
   4.41456107e-02   6.38904000e-01
   4.27015087e-02   6.39409000e-01
   4.08368256e-02   6.39262000e-01
   4.51516773e-02   6.38906000e-01
   3.88766119e-02   6.39381000e-01
   4.92352974e-02   6.39673000e-01
   4.64202781e-02   6.39184000e-01
   4.10978518e-02   6.39301000e-01
   4.43660982e-02   6.39367000e-01
   4.09148835e-02   6.39603000e-01
   4.21018313e-02   6.39375000e-01
   4.15021349e-02   6.39026000e-01
   3.98523924e-02   6.39138000e-01
   4.56187211e-02   6.39230000e-01
   4.16675648e-02   6.39008000e-01
   4.22815387e-02   6.39080000e-01
   4.75056938e-02   6.39124000e-01
   4.15641102e-02   6.39563000e-01
   4.60933758e-02   6.39524000e-01
   4.52023544e-02   6.39245000e-01
   4.47880037e-02   6.39566000e-01
   4.48509153e-02   6.39235000e-01
   4.23650839e-02   6.39108000e-01
   4.23175206e-02   6.39541000e-01
   3.98127090e-02   6.39112000e-01
   4.43070159e-02   6.39688000e-01
   4.36759970e-02   6.39117000e-01
   5.02597546e-02   6.39641000e-01
   4.33782982e-02   6.39224000e-01
   4.18742317e-02   6.39406000e-01
   3.93936278e-02   6.39264000e-01
   3.75924656e-02   6.39589000e-01
   3.97775660e-02   6.39067000e-01
   4.33919205e-02   6.39734000e-01
   3.68907697e-02   6.39014000e-01
   4.61080996e-02   6.39492000e-01
   4.28803048e-02   6.39090000e-01
   4.56950614e-02   6.39332000e-01
   3.63368912e-02   6.39306000e-01
   4.01846048e-02   6.39395000e-01
   4.30985958e-02   6.38905000e-01
   4.57988987e-02   6.39135000e-01
   4.48924945e-02   6.39332000e-01
   4.64871596e-02   6.39174000e-01
   3.74313268e-02   6.39462000e-01
   4.08997698e-02   6.39501000e-01
   4.49302700e-02   6.39492000e-01
   4.07775051e-02   6.39178000e-01
   4.40629742e-02   6.39433000e-01
   4.42229424e-02   6.39470000e-01
   4.43361830e-02   6.39217000e-01
   4.32534275e-02   6.38883000e-01
   3.67171143e-02   6.39233000e-01
   3.92935679e-02   6.39296000e-01
   4.46016534e-02   6.39343000e-01
   4.56025269e-02   6.39071000e-01
   4.35657301e-02   6.39460000e-01
   4.38944100e-02   6.39545000e-01
   3.96419280e-02   6.39315000e-01
   4.27435128e-02   6.39203000e-01
   4.08372406e-02   6.38965000e-01
   3.90278161e-02   6.39014000e-01
   4.66824862e-02   6.38843000e-01
   4.56114941e-02   6.39810000e-01
   4.63546372e-02   6.39661000e-01
   3.92029946e-02   6.39222000e-01
   4.14809000e-02   6.39391000e-01
   4.66955671e-02   6.39014000e-01
   4.64231992e-02   6.39248000e-01
   4.09013687e-02   6.39314000e-01
   3.41252430e-02   6.39060000e-01
   4.58838467e-02   6.38811000e-01
   4.43160888e-02   6.39221000e-01
   4.26349592e-02   6.39677000e-01
   4.05675365e-02   6.39199000e-01
   3.76400341e-02   6.38913000e-01
   4.55917878e-02   6.39404000e-01
   4.38525270e-02   6.39393000e-01
   4.47462933e-02   6.39012000e-01
   4.03997092e-02   6.39549000e-01
   4.53818986e-02   6.39721000e-01
   4.19581335e-02   6.39302000e-01
   4.36624352e-02   6.39243000e-01
   4.75018360e-02   6.39553000e-01
   4.08508001e-02   6.39218000e-01
   4.91986336e-02   6.39107000e-01
   4.32036397e-02   6.39565000e-01
   4.27346743e-02   6.39404000e-01
   4.29841274e-02   6.39209000e-01
   4.35775070e-02   6.39179000e-01
   4.44325277e-02   6.39349000e-01
   4.07773696e-02   6.39288000e-01
   4.07792735e-02   6.39460000e-01
   4.46016389e-02   6.39558000e-01
   4.43154884e-02   6.39154000e-01
   3.94414764e-02   6.39212000e-01
   4.62345587e-02   6.39150000e-01
   3.87353427e-02   6.39338000e-01
   4.26061350e-02   6.38914000e-01
   4.17862111e-02   6.39190000e-01
   4.11388667e-02   6.39600000e-01
   4.84344768e-02   6.39118000e-01
   4.14389053e-02   6.39351000e-01
   4.55289655e-02   6.39322000e-01
   4.54782617e-02   6.39347000e-01
   4.11134341e-02   6.39116000e-01
   4.21217084e-02   6.39574000e-01
   4.32651270e-02   6.39059000e-01
   4.27211943e-02   6.39334000e-01
   4.48003031e-02   6.39069000e-01
   4.28625930e-02   6.39417000e-01
   4.07993681e-02   6.39455000e-01
   4.03570123e-02   6.39063000e-01
   4.24381284e-02   6.39580000e-01
   4.24301760e-02   6.39277000e-01
   4.51142662e-02   6.39757000e-01
   3.53019565e-02   6.39148000e-01
   4.83862616e-02   6.39471000e-01
   3.93946983e-02   6.38862000e-01
   4.03054633e-02   6.39102000e-01
   3.79126448e-02   6.39100000e-01
   4.40977694e-02   6.39295000e-01
   3.90311102e-02   6.39292000e-01
   4.52345382e-02   6.39275000e-01
   4.74656323e-02   6.39330000e-01
   4.48503558e-02   6.39076000e-01
   4.25622958e-02   6.39195000e-01
   4.30808803e-02   6.39616000e-01
   4.52621968e-02   6.39198000e-01
   4.64154121e-02   6.39196000e-01
   4.55692001e-02   6.39375000e-01
   4.15363546e-02   6.39059000e-01
   3.96725490e-02   6.38922000e-01
   3.81691611e-02   6.39628000e-01
   3.82556128e-02   6.39626000e-01
   4.13270102e-02   6.39444000e-01
   4.16175402e-02   6.39360000e-01
   4.38848199e-02   6.39659000e-01
   4.17719037e-02   6.39229000e-01
   4.09549019e-02   6.39428000e-01
   4.00486094e-02   6.39393000e-01
   4.27210008e-02   6.39369000e-01
   4.18282664e-02   6.39248000e-01
   4.08263620e-02   6.39631000e-01
   4.25126043e-02   6.39863000e-01
   4.28484656e-02   6.39400000e-01
   4.38462927e-02   6.39324000e-01
   4.26889347e-02   6.39126000e-01
   4.22745588e-02   6.39521000e-01
   4.72841011e-02   6.39311000e-01
   3.64085825e-02   6.38971000e-01
   4.20724104e-02   6.39064000e-01
   4.77902696e-02   6.40076000e-01
   3.90262306e-02   6.39086000e-01
   3.58644582e-02   6.39164000e-01
   4.37435731e-02   6.39450000e-01
   4.17825919e-02   6.39250000e-01
   4.42759409e-02   6.39077000e-01
   4.17322177e-02   6.39151000e-01
   4.46108585e-02   6.39442000e-01
   4.43285129e-02   6.39401000e-01
   4.76349533e-02   6.39488000e-01
   4.24992436e-02   6.39345000e-01
   4.16757809e-02   6.38939000e-01
   4.39577681e-02   6.39325000e-01
   4.80805260e-02   6.39310000e-01
   4.53838501e-02   6.39528000e-01
   4.72396370e-02   6.38936000e-01
   4.11894679e-02   6.39587000e-01
   4.53403073e-02   6.39174000e-01
   4.10522757e-02   6.39708000e-01
   4.45765214e-02   6.39164000e-01
   4.34411651e-02   6.39109000e-01
   4.19758781e-02   6.39029000e-01
   4.04305802e-02   6.39164000e-01
   4.24321236e-02   6.39322000e-01
   3.99827956e-02   6.38974000e-01
   4.42585000e-02   6.39317000e-01
   4.22769138e-02   6.39252000e-01
   4.50883612e-02   6.39411000e-01
   4.45051954e-02   6.39253000e-01
   4.01143126e-02   6.39347000e-01
   4.79305219e-02   6.39333000e-01
   4.33713192e-02   6.38912000e-01
   4.13676526e-02   6.39531000e-01
   4.70417802e-02   6.39663000e-01
   4.04002844e-02   6.39174000e-01
   4.41864765e-02   6.39129000e-01
   4.20421317e-02   6.39605000e-01
   4.04216538e-02   6.39192000e-01
   4.14381708e-02   6.38896000e-01
   3.97034667e-02   6.39422000e-01
   4.26731219e-02   6.39048000e-01
   4.49390175e-02   6.39425000e-01
   4.32204340e-02   6.39437000e-01
   4.18219254e-02   6.39536000e-01
   4.77961262e-02   6.39341000e-01
   4.26196357e-02   6.39112000e-01
   4.02194179e-02   6.38991000e-01
   4.47253983e-02   6.39289000e-01
   3.79402206e-02   6.39232000e-01
   4.43611278e-02   6.39124000e-01
   4.13000613e-02   6.39665000e-01
   4.36793097e-02   6.38995000e-01
   4.07938426e-02   6.39354000e-01
   4.48820679e-02   6.39237000e-01
   4.30626114e-02   6.39195000e-01
   4.55891856e-02   6.39049000e-01
   4.10714133e-02   6.39425000e-01
   3.83948684e-02   6.39666000e-01
   4.42376171e-02   6.39047000e-01
   3.91169125e-02   6.39139000e-01
   3.97318368e-02   6.39360000e-01
   4.39913633e-02   6.39620000e-01
   4.05420174e-02   6.39396000e-01
   4.54956868e-02   6.39715000e-01
   4.44907629e-02   6.39478000e-01
   4.25982756e-02   6.39482000e-01
   4.22927989e-02   6.39200000e-01
   4.16759523e-02   6.39286000e-01
   4.27887949e-02   6.39471000e-01
   4.36543518e-02   6.39383000e-01
   3.87650800e-02   6.39048000e-01
   4.19674304e-02   6.39443000e-01
